pr_url,complexity,developer,date,team,merged_at,created_at,lines_added,lines_deleted,explanation
https://github.com/RiveryIO/rivery_back/pull/11437,1,Inara-Rivery,2025-05-12,FullStack,2025-05-12T06:59:40Z,2025-05-12T06:51:21Z,9,9,"Simple find-and-replace of a single logo URL across 9 HTML email templates; no logic changes, purely a static asset path update."
https://github.com/RiveryIO/rivery_back/pull/11436,1,Inara-Rivery,2025-05-12,FullStack,2025-05-12T07:43:58Z,2025-05-12T06:50:57Z,5,5,"Trivial find-and-replace change updating a single logo URL across 5 email template HTML files; no logic, no tests, purely cosmetic asset path update."
https://github.com/RiveryIO/rivery_back/pull/11438,6,aaronabv,2025-05-12,CDC,2025-05-12T09:15:16Z,2025-05-12T08:28:18Z,350,48,"Moderate complexity involving multiple modules (API and feeder layers) with non-trivial refactoring: extracts inline logic into helper functions, adds CDC column mapping logic with database checks and error handling, improves MongoDB view detection and logging, and includes comprehensive test coverage across different scenarios and edge cases."
https://github.com/RiveryIO/rivery_back/pull/11439,4,Lizkhrapov,2025-05-12,Integration,2025-05-12T14:12:07Z,2025-05-12T11:38:45Z,17,0,"Adds conditional parameter handling for Facebook Ads attribution settings across two files with straightforward logic: checking config values and updating params accordingly, plus conditionally adding a field to the report; localized changes with clear conditionals but requires understanding Facebook API attribution behavior."
https://github.com/RiveryIO/rivery_back/pull/11442,7,RonKlar90,2025-05-13,Integration,2025-05-13T09:46:56Z,2025-05-13T09:20:54Z,527,217,"Implements sophisticated report splitting and retry logic for DoubleClick Publisher API with dimension-based query partitioning, custom downloader with chunked streaming, timeout handling via ThreadPoolExecutor, recursive dimension value extraction, and comprehensive test coverage across multiple modules; involves non-trivial orchestration, concurrency patterns, and stateful queue management."
https://github.com/RiveryIO/rivery_back/pull/11444,2,RonKlar90,2025-05-13,Integration,2025-05-13T15:14:12Z,2025-05-13T15:13:30Z,0,17,Removes deprecated Facebook Ads API parameters (attribution settings and action_report_time) from two files; straightforward deletion of conditional logic blocks with no new code or tests added.
https://github.com/RiveryIO/rivery_back/pull/11446,2,Lizkhrapov,2025-05-13,Integration,2025-05-13T15:16:56Z,2025-05-13T15:16:20Z,0,3,Removes unused variables and their references from a single feeder file; straightforward cleanup with no logic changes or testing implications.
https://github.com/RiveryIO/rivery_back/pull/11445,2,RonKlar90,2025-05-13,Integration,2025-05-13T15:22:15Z,2025-05-13T15:14:38Z,0,20,Removes deprecated attribution setting parameters from Facebook Ads API integration across two files; straightforward deletion of conditional logic and parameter passing with no new functionality added.
https://github.com/RiveryIO/rivery_back/pull/11441,1,Alonreznik,2025-05-13,Devops,2025-05-13T16:46:45Z,2025-05-12T21:30:18Z,2,2,"Trivial change: updates two numeric constants in a pricing/billing configuration (rpu_per_unit and min_rpu) within a single file; no logic changes, no tests, purely parameter adjustment."
https://github.com/RiveryIO/rivery_back/pull/11447,2,hadasdd,2025-05-14,Core,2025-05-14T07:29:24Z,2025-05-14T07:21:00Z,9,2,"Simple feature addition passing a new recipe_id field through two Python files; extracts value from dict, adds to multiple payload dictionaries, and adjusts one assertion condition; minimal logic change with straightforward data plumbing."
